"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"3855","Tetris Ultimate","8,000","35,000","27,000","337.5%","$14.99","66% ($5.09)","30% (N/A)"
"3856","UNDER NIGHT IN-BIRTH Exe:Late","28,000","35,000","7,000","25%","$29.99","80% ($5.99)","93% (N/A)"
"3857","STAR-BOX: RPG Adventures in Space","27,000","35,000","8,000","29.63%","$4.99","75% ($1.24)","33% (N/A)"
"3858","World of Subways 2 – Berlin Line 7","32,000","35,000","3,000","9.38%","$9.99","35% ($6.69)","69% (N/A)"
"3859","Blonde Driver","2,000","35,000","33,000","1650%","$0.99","51% ($0.49)","43% (N/A)"
"3860","Death Goat","33,000","35,000","2,000","6.06%","$2.99","50% ($1.49)","81% (N/A)"
"3861","VoiceAttack","16,000","35,000","19,000","118.75%","$11.99","50% ($5.99)","93% (N/A)"
"3862","Deep Under the Sky","32,000","35,000","3,000","9.38%","$9.99","75% ($2.49)","90% (N/A)"
"3863","RKN - Roskomnadzor Banned Internet","6,000","34,000","28,000","466.67%","$0.99","51% ($0.49)","N/A (N/A)"
"3864","Cyto","32,000","34,000","2,000","6.25%","$3.99","0% ($3.99)","83% (N/A)"
"3865","Over The Void","19,000","34,000","15,000","78.95%","$4.99","90% ($0.49)","69% (N/A)"
"3866","Fallen ~Makina and the City of Ruins~","17,000","34,000","17,000","100%","$14.99","35% ($9.74)","84% (N/A)"
"3867","Vampire of the Sands","32,000","34,000","2,000","6.25%","$4.99","90% ($0.49)","75% (N/A)"
"3868","Raceland","12,000","34,000","22,000","183.33%","$1.99","75% ($0.49)","50% (N/A)"
"3869","Hybrid Animals","29,000","34,000","5,000","17.24%","$6.99","0% ($6.99)","56% (N/A)"
"3870","Fibbage XL","26,000","34,000","8,000","30.77%","$9.99","60% ($3.99)","94% (N/A)"
"3871","YOU DON'T KNOW JACK Vol. 1 XL","8,000","34,000","26,000","325%","$2.99","50% ($1.49)","79% (N/A)"
"3872","Ahnayro: The Dream World","26,000","34,000","8,000","30.77%","$4.99","75% ($1.24)","91% (N/A)"
"3873","Krai Mira: Extended Cut","23,000","34,000","11,000","47.83%","$5.99","80% ($1.19)","58% (50%)"
"3874","Sweet Volley High","25,000","34,000","9,000","36%","$9.99","50% ($4.99)","64% (N/A)"
"3875","Flat Kingdom Paper's Cut Edition","27,000","34,000","7,000","25.93%","$7.99","60% ($3.19)","82% (N/A)"
"3876","Jagged Alliance Flashback","31,000","34,000","3,000","9.68%","$19.99","80% ($3.99)","33% (N/A)"
"3877","BUTCHER","31,000","34,000","3,000","9.68%","$9.99","60% ($3.99)","90% (70%)"
"3878","Super Chibi Knight","20,000","34,000","14,000","70%","$4.99","50% ($2.49)","86% (N/A)"
"3879","DIG IT! - A Digger Simulator","30,000","34,000","4,000","13.33%","$17.99","70% ($5.39)","54% (N/A)"
"3880","Moebius: Empire Rising","29,000","34,000","5,000","17.24%","$14.99","75% ($3.74)","79% (54%)"
"3881","Abandon Ship","24,000","34,000","10,000","41.67%","$19.99","25% ($14.99)","66% (N/A)"
"3882","東方憑依華　～ Antinomy of Common Flowers.","24,000","34,000","10,000","41.67%","$24.99","0% ($24.99)","91% (N/A)"
"3883","Tower of Time","18,000","34,000","16,000","88.89%","$24.99","40% ($14.99)","88% (77%)"
"3884","Copoka","31,000","34,000","3,000","9.68%","$4.99","33% ($3.34)","85% (N/A)"
"3885","3DMark 11","32,000","34,000","2,000","6.25%","$19.99","90% ($1.99)","82% (N/A)"
"3886","Dungeon Painter Studio","30,000","34,000","4,000","13.33%","$14.99","0% ($14.99)","81% (N/A)"
"3887","Monolith","9,000","34,000","25,000","277.78%","$7.99","50% ($3.99)","98% (83%)"
"3888","The Collider","30,000","34,000","4,000","13.33%","$2.99","60% ($1.19)","87% (N/A)"
"3889","Super Hipster Lumberjack","29,000","34,000","5,000","17.24%","$0.5","0% ($0.5)","78% (N/A)"
"3890","The Thirst of Hearts","26,000","34,000","8,000","30.77%","$0.99","51% ($0.49)","41% (N/A)"
"3891","Bunnyrama","31,000","34,000","3,000","9.68%","$2.99","60% ($1.19)","94% (N/A)"
"3892","The Messenger","0","34,000","34,000","0%","$19.99","30% ($13.99)","95% (N/A)"
"3893","Starship Theory","19,000","34,000","15,000","78.95%","$11.99","0% ($11.99)","55% (N/A)"
"3894","Gump Runner","29,000","34,000","5,000","17.24%","$0.99","51% ($0.49)","N/A (N/A)"
"3895","Alpha Zylon","27,000","34,000","7,000","25.93%","$4.99","90% ($0.49)","63% (N/A)"
"3896","Munich Bus Simulator","27,000","34,000","7,000","25.93%","$14.99","60% ($7.49)","44% (N/A)"
"3897","Obludia","17,000","34,000","17,000","100%","$4.99","80% ($0.99)","39% (N/A)"
"3898","Wonder Boy: The Dragon's Trap","29,000","34,000","5,000","17.24%","$19.99","50% ($9.99)","89% (N/A)"
"3899","Ace of Protectors","11,000","34,000","23,000","209.09%","$1.99","40% ($1.19)","83% (N/A)"
"3900","CrossCells","23,000","34,000","11,000","47.83%","$2.99","70% ($0.89)","85% (N/A)"
"3901","Angelica Weaver: Catch Me When You Can","22,000","34,000","12,000","54.55%","$13.99","60% ($5.59)","72% (N/A)"
"3902","Hexagon Defense","31,000","34,000","3,000","9.68%","$3.99","87% ($0.51)","73% (N/A)"
"3903","Fantasy Grounds","29,000","34,000","5,000","17.24%","$39.99","25% ($29.99)","75% (N/A)"
"3904","Chronicles of a Dark Lord: Rhapsody Clash","29,000","34,000","5,000","17.24%","$0.99","30% ($0.69)","N/A (N/A)"
"3905","Recovery Search & Rescue Simulation","29,000","34,000","5,000","17.24%","$4.99","90% ($0.49)","8% (N/A)"
"3906","Battle Bruise","17,000","34,000","17,000","100%","$0.99","51% ($0.49)","93% (N/A)"
"3907","Spring of Decadence / 堕落之春","0","34,000","34,000","0%","$1.99","30% ($1.39)","79% (N/A)"
"3908","Atari Vault","24,000","34,000","10,000","41.67%","$9.99","66% ($3.39)","81% (N/A)"
"3909","Crashday Redline Edition","28,000","34,000","6,000","21.43%","$11.99","70% ($3.59)","89% (N/A)"
"3910","Rime Berta","26,000","34,000","8,000","30.77%","$14.99","75% ($3.74)","70% (N/A)"
"3911","Dungeon Hero","30,000","34,000","4,000","13.33%","$6.99","80% ($1.39)","57% (N/A)"
"3912","Mighty Gunvolt","32,000","34,000","2,000","6.25%","$4.99","75% ($1.24)","75% (N/A)"
"3913","Fantasia of the Wind - 风之幻想曲","10,000","34,000","24,000","240%","$3.99","40% ($2.39)","91% (N/A)"
"3914","Disney Winnie the Pooh","27,000","34,000","7,000","25.93%","$5.99","70% ($1.79)","88% (N/A)"
"3915","Ground Control II: Operation Exodus","28,000","34,000","6,000","21.43%","$4.99","66% ($1.69)","83% (80%)"
"3916","The Dwarf Run","28,000","34,000","6,000","21.43%","$8.99","70% ($2.69)","76% (N/A)"
"3917","Act of War: High Treason","32,000","34,000","2,000","6.25%","$2.99","60% ($1.19)","79% (74%)"
"3918","WIN THE GAME!","15,000","34,000","19,000","126.67%","$0.99","51% ($0.49)","72% (N/A)"
"3919","OddPlanet","28,000","34,000","6,000","21.43%","$6.99","85% ($1.04)","70% (N/A)"
"3920","Hentai Girl Linda","0","34,000","34,000","0%","$0.99","40% ($0.59)","94% (N/A)"
"3921","Cyberpunk 3776","20,000","34,000","14,000","70%","$4.99","65% ($2.24)","N/A (N/A)"
"3922","Maggie's Apartment","4,000","34,000","30,000","750%","$9.99","0% ($9.99)","96% (N/A)"
"3923","Tears of a Dragon","24,000","34,000","10,000","41.67%","$4.99","50% ($2.49)","N/A (N/A)"
"3924","Stock Car Extreme","28,000","34,000","6,000","21.43%","$14.99","75% ($3.74)","81% (N/A)"
"3925","ACE Academy","26,000","33,000","7,000","26.92%","$19.99","75% ($4.99)","96% (N/A)"
"3926","Comanche 4","13,000","33,000","20,000","153.85%","$9.99","75% ($2.49)","86% (74%)"
"3927","Remothered: Tormented Fathers","22,000","33,000","11,000","50%","$19.99","50% ($9.99)","79% (77%)"
"3928","Nightside","29,000","33,000","4,000","13.79%","$4.99","90% ($0.99)","51% (N/A)"
"3929","Beholder 2","0","33,000","33,000","0%","$14.99","10% ($13.49)","86% (N/A)"
"3930","Hentai","15,000","33,000","18,000","120%","$0.99","30% ($0.69)","87% (N/A)"
"3931","Everybody's Gone to the Rapture","31,000","33,000","2,000","6.45%","$19.99","0% ($19.99)","69% (76%)"
"3932","The Sunset","31,000","33,000","2,000","6.45%","$1.99","60% ($0.79)","N/A (N/A)"
"3933","Crash Time 3","30,000","33,000","3,000","10%","$5.99","80% ($1.19)","80% (N/A)"
"3934","MotoGP15","29,000","33,000","4,000","13.79%","$19.99","75% ($4.99)","72% (N/A)"
"3935","Bullets And More VR - BAM VR","14,000","33,000","19,000","135.71%","$9.99","40% ($8.99)","90% (N/A)"
"3936","Oscura: Lost Light","27,000","33,000","6,000","22.22%","$6.99","80% ($1.39)","57% (66%)"
"3937","WRC 5 FIA World Rally Championship","30,000","33,000","3,000","10%","$39.99","80% ($7.99)","46% (65%)"
"3938","The Dreamatorium of Dr. Magnus 2","31,000","33,000","2,000","6.45%","$7.99","75% ($1.99)","64% (N/A)"
"3939","HTR+ Slot Car Simulation","16,000","33,000","17,000","106.25%","$6.99","75% ($1.74)","70% (N/A)"
"3940","TWINKLE STAR SPRITES","30,000","33,000","3,000","10%","$7.99","50% ($3.99)","80% (N/A)"
"3941","Grey Cubes","30,000","33,000","3,000","10%","$0.99","51% ($0.49)","90% (N/A)"
"3942","Unhack","31,000","33,000","2,000","6.45%","$3.99","50% ($1.99)","93% (N/A)"
"3943","Touhou Luna Nights","0","33,000","33,000","0%","$11.99","20% ($9.59)","97% (N/A)"
"3944","Ship Simulator: Maritime Search and Rescue","31,000","33,000","2,000","6.45%","$17.99","60% ($7.19)","42% (N/A)"
"3945","Drift Horizon Online","22,000","33,000","11,000","50%","$4.99","50% ($2.49)","39% (N/A)"
"3946","Super Cuber","31,000","33,000","2,000","6.45%","$2.99","67% ($0.98)","N/A (N/A)"
"3947","Pizza Frenzy Deluxe","30,000","33,000","3,000","10%","$4.99","75% ($1.24)","93% (N/A)"
"3948","Dungelot: Shattered Lands","29,000","33,000","4,000","13.79%","$9.99","75% ($2.49)","70% (78%)"
"3949","STAND OUT : VR Battle Royale","24,000","33,000","9,000","37.5%","$24.99","60% ($9.99)","78% (N/A)"
"3950","Heroine Anthem Zero","17,000","33,000","16,000","94.12%","$9.99","50% ($4.99)","58% (N/A)"
"3951","Interstellaria","27,000","33,000","6,000","22.22%","$9.99","80% ($1.99)","56% (N/A)"
"3952","Leave Me Alone: A Trip To Hell","25,000","33,000","8,000","32%","$1.99","0% ($1.99)","65% (N/A)"
"3953","Survive the Nights","30,000","33,000","3,000","10%","$24.99","0% ($24.99)","48% (N/A)"
"3954","VALKYRIE DRIVE -BHIKKHUNI-","31,000","33,000","2,000","6.45%","$29.99","25% ($22.49)","87% (N/A)"
"3955","Crime Secrets: Crimson Lily","26,000","33,000","7,000","26.92%","$9.99","70% ($2.99)","73% (N/A)"
"3956","12 Labours of Hercules IV: Mother Nature (Platinum Edition)","30,000","33,000","3,000","10%","$2.99","83% ($0.5)","89% (N/A)"
"3957","Battlestar Galactica Deadlock","28,000","33,000","5,000","17.86%","$39.99","60% ($15.99)","79% (77%)"
"3958","妄想症：Deliver Me","0","33,000","33,000","0%","$1.99","50% ($0.99)","89% (N/A)"
"3959","Arcana Heart 3 LOVE MAX!!!!!","28,000","33,000","5,000","17.86%","$29.99","80% ($5.99)","86% (N/A)"
"3960","Flashback","27,000","33,000","6,000","22.22%","$9.99","66% ($3.39)","61% (N/A)"
"3961","Rage Pig","25,000","33,000","8,000","32%","$1.99","0% ($1.99)","N/A (N/A)"
"3962","Three Days","23,000","33,000","10,000","43.48%","$4.99","80% ($0.99)","N/A (N/A)"
"3963","Faces of War","24,000","33,000","9,000","37.5%","$4.99","80% ($0.99)","85% (67%)"
"3964","Fear The Wolves","0","33,000","33,000","0%","$19.99","50% ($9.99)","52% (N/A)"
"3965","Woody Two-Legs: Attack of the Zombie Pirates","31,000","33,000","2,000","6.45%","$4.99","0% ($4.99)","62% (N/A)"
"3966","There Came an Echo","30,000","33,000","3,000","10%","$14.99","66% ($5.09)","71% (58%)"
"3967","Cold War","31,000","33,000","2,000","6.45%","$4.99","75% ($1.24)","58% (64%)"
"3968","Warrior Kings: Battles","29,000","33,000","4,000","13.79%","$9.99","90% ($0.99)","92% (64%)"
"3969","牧剑：化神书(Tale Of Swords: Mystery Scroll)","6,000","32,000","26,000","433.33%","$5.99","65% ($2.09)","79% (N/A)"
"3970","interLOGIC","19,000","32,000","13,000","68.42%","$1.99","50% ($0.99)","83% (N/A)"
"3971","IACTURA","27,000","32,000","5,000","18.52%","$0.99","30% ($0.69)","90% (N/A)"
"3972","AVSEQ","28,000","32,000","4,000","14.29%","$1.99","0% ($1.99)","57% (N/A)"
"3973","Lost in the Forest","22,000","32,000","10,000","45.45%","$0.99","51% ($0.49)","N/A (N/A)"
"3974","STAR WARS Episode I Racer","0","32,000","32,000","0%","$9.99","25% ($7.49)","87% (N/A)"
"3975","Bombshell","12,000","32,000","20,000","166.67%","$34.99","0% ($34.99)","61% (43%)"
"3976","WIN THE GAME: DO IT!","15,000","32,000","17,000","113.33%","$0.99","51% ($0.49)","70% (N/A)"
"3977","Evil Tag","12,000","32,000","20,000","166.67%","$0.99","51% ($0.49)","64% (N/A)"
"3978","Soul Smith of the Kingdom","6,000","32,000","26,000","433.33%","$6.99","25% ($5.24)","56% (N/A)"
"3979","UBERMOSH:BLACK","27,000","32,000","5,000","18.52%","$0.99","51% ($0.49)","92% (N/A)"
"3980","THE KING OF FIGHTERS '97 GLOBAL MATCH","9,000","32,000","23,000","255.56%","$9.99","50% ($4.99)","55% (N/A)"
"3981","Lepofrenia","12,000","32,000","20,000","166.67%","$4.99","90% ($0.49)","56% (N/A)"
"3982","Draw a Stickman: EPIC 2","27,000","32,000","5,000","18.52%","$4.99","50% ($2.49)","80% (N/A)"
"3983","Vintage Year","23,000","32,000","9,000","39.13%","$2.99","75% ($0.74)","85% (N/A)"
"3984","Zolg","28,000","32,000","4,000","14.29%","$0.99","51% ($0.49)","74% (N/A)"
"3985","Memento Mori","27,000","32,000","5,000","18.52%","$12.99","80% ($2.59)","60% (66%)"
"3986","Project AURA","22,000","32,000","10,000","45.45%","$19.99","50% ($9.99)","68% (N/A)"
"3987","Killer Elite – Time to Die","30,000","32,000","2,000","6.67%","$0.99","0% ($0.99)","N/A (N/A)"
"3988","UBERMOSH Vol.3","21,000","32,000","11,000","52.38%","$0.99","51% ($0.49)","92% (N/A)"
"3989","Colortone","24,000","32,000","8,000","33.33%","$4.99","45% ($1.64)","56% (N/A)"
"3990","Awe","24,000","32,000","8,000","33.33%","$0.99","51% ($0.49)","77% (N/A)"
"3991","Urja","18,000","32,000","14,000","77.78%","$9.99","0% ($9.99)","54% (N/A)"
"3992","The Maker's Eden","29,000","32,000","3,000","10.34%","$8.99","0% ($8.99)","80% (N/A)"
"3993","Fable Rush","18,000","32,000","14,000","77.78%","$5.99","25% ($4.49)","75% (N/A)"
"3994","Endless Fables: The Minotaur's Curse","24,000","32,000","8,000","33.33%","$9.99","60% ($3.99)","90% (N/A)"
"3995","Aporia: Beyond The Valley","14,000","32,000","18,000","128.57%","$16.99","75% ($4.24)","88% (71%)"
"3996","Wanderlust Adventures","23,000","32,000","9,000","39.13%","$9.99","85% ($1.49)","59% (N/A)"
"3997","After The End: The Harvest","30,000","32,000","2,000","6.67%","$4.99","60% ($1.99)","75% (N/A)"
"3998","Stranger of Sword City / 剣の街の異邦人 ～黒の宮殿～","24,000","32,000","8,000","33.33%","$19.99","60% ($7.99)","69% (N/A)"
"3999","Diaries of a Spaceport Janitor","24,000","32,000","8,000","33.33%","$9.99","50% ($4.99)","78% (69%)"
"4000","Dungeon Nightmares II : The Memory","29,000","32,000","3,000","10.34%","$8.99","75% ($2.24)","83% (N/A)"
"4001","Superdimension Neptune VS Sega Hard Girls | 超次元大戦ネプテューヌVSセガハードガールズ夢の合体スペシャル | 超次元大戰戰機少女VS SEGA主機娘夢幻合體特別版","25,000","32,000","7,000","28%","$29.99","70% ($8.99)","94% (N/A)"
"4002","Quern - Undying Thoughts","27,000","32,000","5,000","18.52%","$24.99","50% ($12.49)","92% (83%)"
"4003","Flame Over","23,000","32,000","9,000","39.13%","$11.99","80% ($2.39)","70% (N/A)"
"4004","The Legend of Dark Witch","27,000","32,000","5,000","18.52%","$4.99","50% ($2.49)","79% (N/A)"
"4005","World's Dawn","26,000","32,000","6,000","23.08%","$9.99","75% ($2.49)","80% (N/A)"
"4006","Captain Morgane and the Golden Turtle","30,000","32,000","2,000","6.67%","$4.99","0% ($4.99)","60% (N/A)"
"4007","Wooden Floor 2 - Resurrection","22,000","32,000","10,000","45.45%","$1.99","50% ($0.99)","N/A (N/A)"
"4008","Miner Mayhem","20,000","32,000","12,000","60%","$0.99","49% ($0.5)","71% (N/A)"
"4009","Boogeyman","26,000","32,000","6,000","23.08%","$4.99","70% ($1.49)","84% (N/A)"
"4010","MiDZone","25,000","32,000","7,000","28%","$2.99","0% ($2.99)","50% (N/A)"
"4011","Milford Heaven - Luken's Chronicles","28,000","32,000","4,000","14.29%","$0.99","0% ($0.99)","N/A (N/A)"
"4012","Art Of Gravity","28,000","32,000","4,000","14.29%","$0.99","30% ($0.69)","92% (N/A)"
"4013","UBERMOSH Vol.5","30,000","32,000","2,000","6.67%","$0.99","51% ($0.49)","97% (N/A)"
"4014","Regions Of Ruin","17,000","32,000","15,000","88.24%","$11.99","75% ($2.99)","87% (N/A)"
"4015","Contradiction - Spot The Liar!","29,000","32,000","3,000","10.34%","$9.99","0% ($9.99)","96% (N/A)"
"4016","Tyto Ecology","25,000","32,000","7,000","28%","$6.99","50% ($3.49)","74% (N/A)"
"4017","Beast Battle Simulator","21,000","32,000","11,000","52.38%","$9.99","25% ($7.49)","83% (N/A)"
"4018","Remnants of a Beautiful Day","21,000","32,000","11,000","52.38%","$7.99","90% ($0.79)","35% (N/A)"
"4019","Tyd wag vir Niemand (Time waits for Nobody)","9,000","32,000","23,000","255.56%","$9.99","55% ($4.49)","75% (N/A)"
"4020","Breathing Fear","24,000","32,000","8,000","33.33%","$2.99","83% ($0.5)","83% (N/A)"
"4021","Heroes Rise: The Prodigy","29,000","32,000","3,000","10.34%","$3.99","25% ($2.99)","86% (N/A)"
"4022","Nelly Cootalot: The Fowl Fleet","10,000","32,000","22,000","220%","$19.99","50% ($9.99)","89% (81%)"
"4023","You Deserve","28,000","32,000","4,000","14.29%","$0.99","51% ($0.49)","69% (N/A)"
"4024","Slave Zero","30,000","32,000","2,000","6.67%","$6.99","75% ($1.74)","91% (N/A)"
"4025","Cursed West","30,000","32,000","2,000","6.67%","$1.99","75% ($0.49)","66% (N/A)"
"4026","NOBUNAGA'S AMBITION: Souzou (Traditional Chinese version)","27,000","31,000","4,000","14.81%","$24.99","60% ($17.19)","86% (N/A)"
"4027","Project Nimbus","28,000","31,000","3,000","10.71%","$19.99","33% ($13.39)","87% (N/A)"
"4028","Curvatron","28,000","31,000","3,000","10.71%","$0.99","51% ($0.49)","82% (N/A)"
"4029","Big Action Mega Fight!","28,000","31,000","3,000","10.71%","$1.99","50% ($0.99)","80% (N/A)"
"4030","Battle Worlds: Kronos","28,000","31,000","3,000","10.71%","$19.99","75% ($4.99)","63% (71%)"
"4031","Shardlight","18,000","31,000","13,000","72.22%","$14.99","75% ($3.74)","88% (75%)"
"4032","Wacky Wheels","14,000","31,000","17,000","121.43%","$4.99","50% ($2.49)","95% (N/A)"
"4033","PIPE by BMX Streets","15,000","31,000","16,000","106.67%","$9.99","0% ($9.99)","84% (N/A)"
"4034","Major\Minor - Complete Edition","18,000","31,000","13,000","72.22%","$19.99","90% ($1.99)","81% (N/A)"
"4035","Achievements printer part 1","15,000","31,000","16,000","106.67%","$0.99","51% ($0.49)","75% (N/A)"
"4036","Vindictive Drive","17,000","31,000","14,000","82.35%","$2.99","70% ($0.89)","N/A (N/A)"
"4037","女神驾到(Happy together)","0","31,000","31,000","0%","$6.99","40% ($4.19)","27% (N/A)"
"4038","Hentai 3018","3,000","31,000","28,000","933.33%","$0.99","51% ($0.49)","76% (N/A)"
"4039","Interstellar Rift","28,000","31,000","3,000","10.71%","$18.99","50% ($7.49)","74% (N/A)"
"4040","Doodle God: 8-bit Mania - Collector's Item","29,000","31,000","2,000","6.9%","$19.99","90% ($1.99)","63% (N/A)"
"4041","The House of Da Vinci","12,000","31,000","19,000","158.33%","$19.99","50% ($9.99)","90% (N/A)"
"4042","Equilinox","0","31,000","31,000","0%","$9.99","0% ($9.99)","97% (N/A)"
"4043","Hyper Bounce Blast","25,000","31,000","6,000","24%","$4.99","85% ($0.74)","90% (N/A)"
"4044","NEStalgia","24,000","31,000","7,000","29.17%","$9.99","60% ($3.99)","70% (N/A)"
"4045","Scarab Tales","29,000","31,000","2,000","6.9%","$4.99","75% ($1.24)","95% (N/A)"
"4046","iRacing","26,000","31,000","5,000","19.23%","$9.99","60% ($3.99)","76% (79%)"
"4047","STEINS;GATE 0","20,000","31,000","11,000","55%","$34.99","33% ($23.44)","97% (N/A)"
"4048","Highschool Possession","29,000","31,000","2,000","6.9%","$9.99","50% ($3.49)","73% (N/A)"
"4049","FLASHOUT 2","29,000","31,000","2,000","6.9%","$4.99","80% ($0.99)","57% (N/A)"
"4050","Panzer Tactics HD","29,000","31,000","2,000","6.9%","$9.99","75% ($2.49)","69% (69%)"
"4051","Lemma","21,000","31,000","10,000","47.62%","$14.99","50% ($7.49)","86% (73%)"
"4052","GOCCO OF WAR","29,000","31,000","2,000","6.9%","$19.99","50% ($9.99)","89% (N/A)"
"4053","Way of the Samurai 3","19,000","31,000","12,000","63.16%","$19.99","70% ($5.99)","78% (N/A)"
"4054","Bubsy Two-Fur","15,000","31,000","16,000","106.67%","$4.99","60% ($1.99)","75% (N/A)"
"4055","Psebay","25,000","31,000","6,000","24%","$9.99","80% ($1.99)","97% (N/A)"
"4056","Deep Fear","26,000","31,000","5,000","19.23%","$0.99","37% ($0.62)","57% (N/A)"
"4057","SimpleRockets","27,000","31,000","4,000","14.81%","$7.99","75% ($1.99)","84% (N/A)"
"4058","Hidden in Plain Sight","23,000","31,000","8,000","34.78%","$5.99","75% ($1.49)","98% (N/A)"
"4059","Gnomes Garden 3: The thief of castles","29,000","31,000","2,000","6.9%","$4.99","90% ($0.49)","90% (N/A)"
"4060","Pro Cycling Manager 2014","27,000","31,000","4,000","14.81%","$9.99","75% ($2.49)","64% (N/A)"
"4061","Spooky's Jump Scare Mansion: HD Renovation","18,000","31,000","13,000","72.22%","$9.99","33% ($6.69)","91% (N/A)"
"4062","Ironcast","25,000","31,000","6,000","24%","$14.99","80% ($2.99)","79% (75%)"
"4063","RYAN BLACK","22,000","31,000","9,000","40.91%","$2.99","50% ($1.49)","42% (N/A)"
"4064","Guess who ?","0","31,000","31,000","0%","$0.99","51% ($0.49)","73% (N/A)"
"4065","Talisman: The Horus Heresy","28,000","31,000","3,000","10.71%","$6.99","75% ($1.74)","68% (N/A)"
"4066","Good Robot","27,000","31,000","4,000","14.81%","$8.99","80% ($1.79)","90% (67%)"
"4067","AstroPop Deluxe","29,000","31,000","2,000","6.9%","$4.99","75% ($1.24)","85% (N/A)"
"4068","Sky Rogue","25,000","31,000","6,000","24%","$19.99","50% ($9.99)","91% (N/A)"
"4069","Nanobots","24,000","31,000","7,000","29.17%","$3.99","80% ($0.79)","54% (N/A)"
"4070","The Great Escape","22,000","31,000","9,000","40.91%","$3.99","87% ($0.51)","N/A (54%)"
"4071","ECHO","23,000","31,000","8,000","34.78%","$24.99","50% ($12.49)","81% (72%)"
"4072","Legion Tale","18,000","31,000","13,000","72.22%","$4.99","60% ($1.99)","N/A (N/A)"
"4073","Neighboring Islands","29,000","31,000","2,000","6.9%","$4.99","70% ($1.49)","89% (N/A)"
"4074","Making History: The Great War","15,000","31,000","16,000","106.67%","$29.99","50% ($14.99)","73% (N/A)"
"4075","FIM Speedway Grand Prix 15","14,000","31,000","17,000","121.43%","$24.99","80% ($4.99)","91% (68%)"
"4076","Katy and Bob: Safari Cafe","0","31,000","31,000","0%","$4.99","90% ($0.49)","94% (N/A)"
"4077","Heart's Medicine - Time to Heal","22,000","31,000","9,000","40.91%","$12.99","75% ($3.24)","91% (N/A)"
"4078","Chicken Invaders 5","17,000","31,000","14,000","82.35%","$4.99","50% ($2.49)","96% (N/A)"
"4079","游魂2-you're the only one- Tayutama 2-you're the only one-","23,000","31,000","8,000","34.78%","$34.99","55% ($14.69)","98% (N/A)"
"4080","X-note","23,000","31,000","8,000","34.78%","$14.99","30% ($10.49)","83% (N/A)"
"4081","The Town of Light","19,000","31,000","12,000","63.16%","$18.99","78% ($4.17)","79% (64%)"
"4082","Trapped Dead: Lockdown","25,000","31,000","6,000","24%","$9.99","90% ($0.99)","60% (N/A)"
"4083","True Lover's Knot","19,000","31,000","12,000","63.16%","$6.99","75% ($1.74)","40% (N/A)"
"4084","Dash Fleet","29,000","31,000","2,000","6.9%","$0.99","50% ($0.79)","N/A (N/A)"
"4085","Gemini Wars","29,000","31,000","2,000","6.9%","$14.99","85% ($2.24)","20% (53%)"
"4086","Niffelheim","25,000","31,000","6,000","24%","$19.99","50% ($9.99)","79% (N/A)"
"4087","Age of Fear: The Undead King","24,000","31,000","7,000","29.17%","$19.99","80% ($3.99)","93% (N/A)"
"4088","Season Match 2","27,000","30,000","3,000","11.11%","$3.99","88% ($0.49)","51% (N/A)"
"4089","Spooky Cats","22,000","30,000","8,000","36.36%","$2.99","75% ($0.74)","87% (N/A)"
"4090","ROMBY","23,000","30,000","7,000","30.43%","$0.99","51% ($0.49)","70% (N/A)"
"4091","Hunt Down The Freeman","16,000","30,000","14,000","87.5%","$9.99","75% ($2.49)","31% (N/A)"
"4092","Accel World VS. Sword Art Online Deluxe Edition","19,000","30,000","11,000","57.89%","$49.99","70% ($14.99)","81% (N/A)"
"4093","Bomb Defense","12,000","30,000","18,000","150%","$4.99","70% ($2.39)","N/A (N/A)"
"4094","Aaru's Awakening","21,000","30,000","9,000","42.86%","$14.99","0% ($14.99)","68% (N/A)"
"4095","Runers","28,000","30,000","2,000","7.14%","$9.99","90% ($0.99)","83% (68%)"
"4096","Motorcycle, tricycle, ATV hill racing","1,000","30,000","29,000","2900%","$0.99","60% ($0.79)","N/A (N/A)"
"4097","Budget Cuts","10,000","30,000","20,000","200%","$29.99","30% ($20.99)","73% (76%)"
"4098","The Adventures of Fei Duanmu 端木斐异闻录","15,000","30,000","15,000","100%","$3.99","30% ($2.79)","94% (N/A)"
"4099","Voodoo Garden","26,000","30,000","4,000","15.38%","$2.99","66% ($1.01)","75% (N/A)"
"4100","EmergeNYC","24,000","30,000","6,000","25%","$34.99","30% ($24.49)","68% (N/A)"
"4101","Shadows: Heretic Kingdoms","23,000","30,000","7,000","30.43%","$39.99","25% ($29.99)","61% (74%)"
"4102","Roller Coaster Rampage","24,000","30,000","6,000","25%","$9.99","0% ($9.99)","57% (N/A)"
"4103","Tesla vs Lovecraft","11,000","30,000","19,000","172.73%","$14.99","55% ($6.74)","88% (73%)"
"4104","hackmud","19,000","30,000","11,000","57.89%","$19.99","25% ($14.99)","76% (N/A)"
"4105","Dragon Fin Soup","23,000","30,000","7,000","30.43%","$19.99","75% ($4.99)","61% (N/A)"
"4106","Kings and Heroes","17,000","30,000","13,000","76.47%","$14.99","0% ($14.99)","61% (N/A)"
"4107","GIGA WRECKER","27,000","30,000","3,000","11.11%","$19.99","0% ($19.99)","84% (N/A)"
