"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"111","Fallout 3: Game of the Year Edition","1,920,000","2,341,000","421,000","21.93%","$19.99","50% ($9.99)","79% (91%)"
"112","Total War: NAPOLEON – Definitive Edition","2,262,000","2,331,000","69,000","3.05%","$24.99","75% ($4.99)","88% (N/A)"
"113","The Stanley Parable","1,874,000","2,323,000","449,000","23.96%","$14.99","75% ($3.74)","91% (88%)"
"114","Brutal Legend","1,396,000","2,312,000","916,000","65.62%","$14.99","85% ($2.24)","94% (80%)"
"115","ORION: Prelude","2,286,000","2,307,000","21,000","0.92%","$0.99","37% ($0.62)","76% (N/A)"
"116","Hotline Miami","2,196,000","2,278,000","82,000","3.73%","$9.99","75% ($2.49)","97% (85%)"
"117","Dead Space","2,255,000","2,276,000","21,000","0.93%","$19.99","75% ($4.99)","90% (86%)"
"118","Besiege","1,763,000","2,252,000","489,000","27.74%","$9.99","40% ($5.99)","95% (N/A)"
"119","Batman: Arkham Origins","2,176,000","2,220,000","44,000","2.02%","$19.99","75% ($4.99)","84% (74%)"
"120","Kingdom: Classic","1,329,000","2,213,000","884,000","66.52%","$4.99","60% ($1.99)","86% (74%)"
"121","Tropico 4","1,685,000","2,204,000","519,000","30.8%","$14.99","80% ($2.99)","91% (78%)"
"122","太吾绘卷 The Scroll Of Taiwu","0","2,197,000","2,197,000","0%","$19.99","15% ($16.99)","90% (N/A)"
"123","Titan Quest Anniversary Edition","2,112,000","2,185,000","73,000","3.46%","$19.99","80% ($3.99)","91% (N/A)"
"124","Total War: MEDIEVAL II – Definitive Edition","1,999,000","2,182,000","183,000","9.15%","$24.99","75% ($4.99)","94% (N/A)"
"125","Metro 2033 Redux","2,041,000","2,173,000","132,000","6.47%","$19.99","66% ($6.79)","91% (N/A)"
"126","Crysis 2 - Maximum Edition","2,129,000","2,150,000","21,000","0.99%","$29.99","75% ($7.49)","83% (N/A)"
"127","Borderlands: The Pre-Sequel","1,959,000","2,129,000","170,000","8.68%","$39.99","70% ($11.99)","81% (75%)"
"128","Battlefield: Bad Company 2","2,033,000","2,112,000","79,000","3.89%","$19.99","85% ($2.99)","85% (87%)"
"129","Papers, Please","1,961,000","2,101,000","140,000","7.14%","$9.99","50% ($4.99)","95% (85%)"
"130","Metro: Last Light Redux","1,689,000","2,099,000","410,000","24.27%","$19.99","66% ($6.79)","93% (76%)"
"131","Just Cause 3","1,542,000","2,077,000","535,000","34.7%","$29.99","85% ($4.49)","72% (74%)"
"132","Alan Wake","1,706,000","2,047,000","341,000","19.99%","$14.99","80% ($3)","91% (83%)"
"133","Kerbal Space Program","1,925,000","2,002,000","77,000","4%","$39.99","60% ($15.99)","90% (88%)"
"134","The Binding of Isaac: Rebirth","1,882,000","1,991,000","109,000","5.79%","$14.99","50% ($7.49)","97% (N/A)"
"135","Burnout Paradise: The Ultimate Box","1,624,000","1,983,000","359,000","22.11%","$19.99","75% ($4.99)","87% (87%)"
"136","SPORE","1,851,000","1,973,000","122,000","6.59%","$19.99","85% ($2.99)","87% (84%)"
"137","Darkest Dungeon","1,619,000","1,957,000","338,000","20.88%","$24.99","70% ($7.49)","85% (84%)"
