"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)"
"32","Stellaris","May 9, 2016","$39.99","46% (78%/78%)","1,000,000 .. 2,000,000","20.65%","11:32 (07:34)"
"33","Don't Starve Together","Apr 21, 2016","$14.99","95% (96%/83%)","5,000,000 .. 10,000,000","5.59%","05:50 (02:00)"
"34","Killing Floor 2","Nov 18, 2016","$9.9","73% (89%/75%)","2,000,000 .. 5,000,000","12.41%","08:32 (02:21)"
"35","Farming Simulator 19","Nov 19, 2018","$34.99","42% (76%/72%)","200,000 .. 500,000","76.99%","20:23 (12:10)"
"36","Sid Meier's Civilization V","Sep 21, 2010","$29.99","92% (95%/90%)","5,000,000 .. 10,000,000","5.75%","07:40 (03:18)"
"37","FOR HONOR","Feb 13, 2017","$14.99","13% (54%/76%)","2,000,000 .. 5,000,000","2.82%","10:41 (02:50)"
"38","DARK SOULS III","Apr 11, 2016","$59.99","76% (90%/89%)","2,000,000 .. 5,000,000","8.3%","09:57 (03:15)"
"39","DayZ","Dec 13, 2018","$29.74","20% (61%)","2,000,000 .. 5,000,000","8.71%","08:15 (02:08)"
"40","Dying Light","Jan 26, 2015","$15.99","83% (92%/87%)","2,000,000 .. 5,000,000","6.77%","08:49 (02:24)"
"41","Black Squad","Jul 28, 2017","Free","40% (75%)","5,000,000 .. 10,000,000","3.87%","07:44 (00:51)"
"42","American Truck Simulator","Feb 2, 2016","$19.99","80% (91%/76%)","1,000,000 .. 2,000,000","15.53%","07:33 (01:51)"
"43","Cities: Skylines","Mar 10, 2015","$29.99","80% (91%/85%)","2,000,000 .. 5,000,000","8.58%","05:25 (01:49)"
"44","Mount & Blade: Warband","Mar 31, 2010","$19.99","97% (97%/78%)","2,000,000 .. 5,000,000","8.82%","07:24 (02:32)"
"45","Europa Universalis IV","Aug 13, 2013","$39.99","55% (82%/87%)","1,000,000 .. 2,000,000","16.79%","09:14 (04:28)"
"46","SMITE","Sep 8, 2015","Free","53% (81%/83%)","5,000,000 .. 10,000,000","2.74%","12:34 (03:17)"
"47","The Binding of Isaac: Rebirth","Nov 4, 2014","$14.99","97% (97%)","1,000,000 .. 2,000,000","14.91%","04:59 (01:47)"
"48","Borderlands 2","Sep 17, 2012","$19.99","95% (96%/89%)","5,000,000 .. 10,000,000","4.13%","04:58 (02:21)"
"49","The Elder Scrolls V: Skyrim Special Edition","Oct 27, 2016","$39.99","55% (82%/74%)","5,000,000 .. 10,000,000","5.42%","10:53 (01:37)"
