"","Rank of Sales","Game","Owners Before","Owners After","Sales","Price","Increase(Percentage)","Max Discount(Percentage of Original)","Lowest Price"
"4953",4953,"Voxel Turf",11000,19000,8000,7.99,72.73,38,4.95
"4954",4954,"Starting The Game",4000,19000,15000,0.99,375,51,0.49
"4955",4955,"Spellbind : Luppe's tale",12000,19000,7000,2.99,58.33,0,2.99
"4956",4956,"O! STRELALKA!!!",14000,19000,5000,0.99,35.71,51,0.49
"4957",4957,"99Vidas",11000,19000,8000,12.99,72.73,75,3.24
"4958",4958,"神舞幻想 Faith of Danschant",10000,19000,9000,29.99,90,0,29.99
"4959",4959,"The Cabin: VR Escape the Room",10000,19000,9000,4.99,90,55,2.24
"4960",4960,"Hylics",15000,19000,4000,2.99,26.67,50,1.49
"4961",4961,"Run or Die",14000,19000,5000,4.99,35.71,90,0.49
"4962",4962,"Caravanserail",17000,19000,2000,2.99,11.76,75,0.74
"4963",4963,"LA Cops",11000,19000,8000,14.99,72.73,75,3.74
"4964",4964,"Majestic Nights",17000,19000,2000,4.99,11.76,0,4.99
"4965",4965,"Hypership Out of Control",17000,19000,2000,1.99,11.76,50,0.99
"4966",4966,"Sunset",14000,19000,5000,19.99,35.71,50,9.99
"4967",4967,"Wildlife Park 2 - Horses",16000,19000,3000,3.99,18.75,33,2.67
"4968",4968,"Soundboxing",17000,19000,2000,7.99,11.76,50,3.99
"4969",4969,"Pembrey",7000,19000,12000,0.99,171.43,84,0.49
"4970",4970,"Code of Princess",16000,19000,3000,14.99,18.75,60,5.99
"4971",4971,"Caramba!",0,19000,19000,0.99,0,40,0.59
"4972",4972,"The Fidelio Incident",11000,19000,8000,9.99,72.73,90,0.99
"4973",4973,"Tennis Elbow 2013",17000,19000,2000,24.99,11.76,45,13.74
"4974",4974,"The Uninvited: MacVenture Series",9000,19000,10000,2.99,111.11,0,2.99
"4975",4975,"Polygon Attack",16000,19000,3000,0.99,18.75,51,0.49
"4976",4976,"Epic Manager - Create Your Own Adventuring Agency!",14000,19000,5000,17.99,35.71,75,4.49
"4977",4977,"Freaky Awesome",9000,19000,10000,9.99,111.11,75,2.49
"4978",4978,"Access Denied",12000,19000,7000,2.99,58.33,70,0.89
"4979",4979,"Caveman Craig",14000,19000,5000,4.99,35.71,0,4.99
"4980",4980,"Club Life",14000,19000,5000,11.99,35.71,50,4.99
"4981",4981,"New York Mysteries: Secrets of the Mafia",15000,19000,4000,6.99,26.67,65,2.44
"4982",4982,"My Coloring Book: Food and Beverage",2000,19000,17000,0.99,850,51,0.49
"4983",4983,"Ironclads: Schleswig War 1864",14000,19000,5000,9.99,35.71,90,0.99
"4984",4984,"Nitroplus Blasterz: Heroines Infinite Duel",17000,19000,2000,29.99,11.76,70,8.99
"4985",4985,"Kama Bullet Heritage",13000,19000,6000,0.99,46.15,51,0.49
"4986",4986,"Giant Machines 2017",15000,19000,4000,19.99,26.67,80,3.99
"4987",4987,"Weed Shop 2",16000,19000,3000,9.99,18.75,50,4.99
"4988",4988,"Mini World: Block Art",14000,19000,5000,1.99,35.71,10,1.79
"4989",4989,"Cornerstone: The Song of Tyrim",11000,19000,8000,19.99,72.73,75,4.99
"4990",4990,"Disney•Pixar Cars",10000,19000,9000,19.99,90,65,6.99
"4991",4991,"Share",11000,19000,8000,0.99,72.73,51,0.49
"4992",4992,"Bastard Bonds",17000,19000,2000,12.99,11.76,60,6.39
"4993",4993,"Hero Generations",13000,19000,6000,5.99,46.15,85,0.89
"4994",4994,"Where's My What?",14000,19000,5000,0.99,35.71,80,0.49
"4995",4995,"Earthworm Jim 3D",17000,19000,2000,19.99,11.76,66,6.79
"4996",4996,"Malebolgia",13000,19000,6000,12.99,46.15,90,1.29
"4997",4997,"West of Red",8000,19000,11000,4.99,137.5,90,0.49
"4998",4998,"Iggy's Egg Adventure",17000,19000,2000,4.99,11.76,80,0.99
"4999",4999,"PAC-MAN MUSEUM",15000,19000,4000,19.99,26.67,75,4.99
"5000",5000,"Cats are Liquid - A Light in the Shadows",17000,19000,2000,0.99,11.76,35,0.64
"5001",5001,"Freedom March: Rebel Leader",14000,19000,5000,3.99,35.71,75,1.24
"5002",5002,"Super Trench Attack 2",15000,19000,4000,4.99,26.67,90,0.49
"5003",5003,"Johnny Graves—The Unchosen One",16000,19000,3000,4.99,18.75,90,0.49
"5004",5004,"Helium",11000,19000,8000,4.99,72.73,80,0.99
"5005",5005,"The Archetype",14000,19000,5000,1.99,35.71,0,1.99
"5006",5006,"Change",7000,19000,12000,4.99,171.43,50,2.49
"5007",5007,"Chuck's Challenge 3D",17000,19000,2000,3.99,11.76,75,0.99
"5008",5008,"Dude Simulator",10000,19000,9000,4.99,90,90,0.49
"5009",5009,"MUSYNX",0,19000,19000,3.99,0,10,3.59
"5010",5010,"The Infectious Madness of Doctor Dekker",11000,19000,8000,8.99,72.73,40,5.39
"5011",5011,"Jane Angel: Templar Mystery",17000,19000,2000,4.99,11.76,80,0.99
"5012",5012,"Captain Lycop : Invasion of the Heters",14000,19000,5000,0.99,35.71,0,0.99
"5013",5013,"The Golf Club VR",13000,19000,6000,19.99,46.15,50,14.99
"5014",5014,"Junk Jack",15000,19000,4000,14.99,26.67,25,11.24
"5015",5015,"Lost Lands: The Four Horsemen",17000,19000,2000,6.99,11.76,65,2.44
"5016",5016,"WIN THE GAME: WTF!",2000,18000,16000,0.99,800,51,0.49
"5017",5017,"Bunker - The Underground Game",9000,18000,9000,3.99,100,80,0.79
"5018",5018,"Nameless ~The one thing you must recall~",12000,18000,6000,29.99,50,25,22.49
"5019",5019,"Beat The Dictators",14000,18000,4000,4.99,28.57,0,4.99
"5020",5020,"Killer Backflip 5",2000,18000,16000,0.99,800,51,0.49
"5021",5021,"Alpha Polaris : A Horror Adventure Game",8000,18000,10000,9.99,125,85,1.49
"5022",5022,"Apocalipsis",4000,18000,14000,6.99,350,40,4.19
"5023",5023,"GamersGoMakers",16000,18000,2000,9.99,12.5,50,4.99
"5024",5024,"LOGistICAL",6000,18000,12000,9.99,200,50,4.99
"5025",5025,"Tokyo Hosto",13000,18000,5000,4.99,38.46,0,4.99
"5026",5026,"Othello",12000,18000,6000,9.99,50,75,2.49
"5027",5027,"Aerannis",16000,18000,2000,4.99,12.5,90,0.49
"5028",5028,"Akuatica",2000,18000,16000,4.99,800,60,2.79
"5029",5029,"Gunship!",13000,18000,5000,6.99,38.46,75,1.74
"5030",5030,"Lost Technology",12000,18000,6000,4.99,50,30,3.49
"5031",5031,"Doodle Mafia",14000,18000,4000,7.99,28.57,71,2.31
"5032",5032,"12 orbits",16000,18000,2000,1.99,12.5,25,1.49
"5033",5033,"Russian AYE Race",5000,18000,13000,0.99,260,51,0.49
"5034",5034,"Black & White Bushido",16000,18000,2000,12.99,12.5,75,3.24
"5035",5035,"Crystalline",10000,18000,8000,19.99,80,33,13.39
"5036",5036,"Karate Master 2 Knock Down Blow",16000,18000,2000,9.99,12.5,50,4.99
"5037",5037,"Trickster VR: Co-op Dungeon Crawler",15000,18000,3000,12.99,20,50,6.49
"5038",5038,"Children of Zodiarcs",16000,18000,2000,17.99,12.5,50,8.99
"5039",5039,"Dice Tower Defense",11000,18000,7000,0.99,63.64,51,0.49
"5040",5040,"The Treasures of Montezuma 3",15000,18000,3000,3.99,20,88,0.49
"5041",5041,"Fields XY",13000,18000,5000,3.99,38.46,80,0.79
"5042",5042,"E.T. Armies",15000,18000,3000,14.99,20,90,1.49
"5043",5043,"Tavernier",16000,18000,2000,2.99,12.5,67,0.98
"5044",5044,"Gloom",12000,18000,6000,9.99,50,85,1.49
"5045",5045,"Ultimate Spider Hero",3000,18000,15000,1.99,500,75,0.49
"5046",5046,"Backgammon Blitz",7000,18000,11000,3.99,157.14,70,1.19
"5047",5047,"BOLSOMITO",0,18000,18000,4.99,0,10,4.49
"5048",5048,"Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-",0,18000,18000,34.99,0,20,27.99
"5049",5049,"Bomb Squad Academy",7000,18000,11000,4.99,157.14,50,2.49
"5050",5050,"Onechanbara Z2: Chaos",16000,18000,2000,39.99,12.5,50,19.99
"5051",5051,"The Letter - Horror Visual Novel",13000,18000,5000,19.99,38.46,40,11.99
"5052",5052,"TurnOn",16000,18000,2000,14.99,12.5,90,1.49
"5053",5053,"Farmington Tales",15000,18000,3000,4.99,20,80,0.99
"5054",5054,"The Metronomicon: Slay The Dance Floor",16000,18000,2000,19.99,12.5,75,4.99
"5055",5055,"Tangledeep",13000,18000,5000,14.99,38.46,33,10.04
"5056",5056,"Black Closet",11000,18000,7000,19.99,63.64,70,5.99
"5057",5057,"Forestry 2017 - The Simulation",14000,18000,4000,19.99,28.57,75,4.99
"5058",5058,"Rencounter",14000,18000,4000,5.99,28.57,90,0.59
"5059",5059,"Rogue Wizards",15000,18000,3000,14.99,20,0,14.99
"5060",5060,"A Wolf in Autumn",13000,18000,5000,1.99,38.46,60,0.79
"5061",5061,"Fabula Mortis",12000,18000,6000,7.99,50,90,0.79
"5062",5062,"Eador. Imperium",13000,18000,5000,19.99,38.46,80,3.99
"5063",5063,"Hakuoki: Kyoto Winds / 薄桜鬼 真改　風ノ章 / 薄櫻鬼 真改　風之章",7000,18000,11000,29.99,157.14,85,4.49
"5064",5064,"WARPZONE DRIFTER",0,18000,18000,1.99,0,50,0.99
"5065",5065,"Farm Mechanic Simulator 2015",16000,18000,2000,9.99,12.5,66,3.39
"5066",5066,"Deadly Sin",14000,18000,4000,4.99,28.57,80,0.99
"5067",5067,"Pesadelo - Regressão",14000,18000,4000,5.99,28.57,80,1.19
"5068",5068,"Bus Driver Simulator 2019",9000,18000,9000,9.99,100,25,7.49
"5069",5069,"Joint Operations: Combined Arms Gold",16000,18000,2000,19.99,12.5,80,4.99
"5070",5070,"Last Days of Spring 2",6000,18000,12000,6.99,200,66,2.37
"5071",5071,"SENRAN KAGURA Bon Appétit! - Full Course",14000,18000,4000,29.99,28.57,70,8.99
"5072",5072,"Tahira: Echoes of the Astral Empire",4000,18000,14000,14.99,350,50,7.49
"5073",5073,"Disney Universe",16000,18000,2000,19.99,12.5,65,6.99
"5074",5074,"Pro Rugby Manager 2015",15000,18000,3000,9.99,20,90,0.99
"5075",5075,"A Robot Named Fight!",8000,18000,10000,12.99,125,50,6.49
"5076",5076,"Field of Glory II",14000,18000,4000,29.99,28.57,51,14.69
"5077",5077,"Block Legend DX",6000,18000,12000,4.99,200,75,1.24
"5078",5078,"Cinemaware Anthology: 1986-1991",16000,18000,2000,9.99,12.5,75,2.49
"5079",5079,"ANTIFECTOR",0,18000,18000,2.99,0,0,2.99
"5080",5080,"TT Isle of Man",12000,18000,6000,39.99,50,60,15.99
"5081",5081,"Home Improvisation: Furniture Sandbox",13000,18000,5000,9.99,38.46,50,4.99
"5082",5082,"Arcane Sorcery",16000,18000,2000,4.99,12.5,85,0.74
"5083",5083,"Wild Animal Racing",11000,18000,7000,3.99,63.64,33,2.67
"5084",5084,"Deep Sky Derelicts",7000,18000,11000,19.99,157.14,25,12.79
"5085",5085,"Maximum Override",16000,18000,2000,6.99,12.5,75,1.74
"5086",5086,"Highlands",16000,18000,2000,4.99,12.5,65,1.74
"5087",5087,"Apothecarium: The Renaissance of Evil - Premium Edition",16000,18000,2000,6.99,12.5,75,1.74
"5088",5088,"Beauty Bounce",13000,18000,5000,5.99,38.46,60,2.19
"5089",5089,"Fear the Dead",3000,18000,15000,0.99,500,40,0.59
"5090",5090,"18+",0,18000,18000,0.99,0,51,0.49
"5091",5091,"Big Thinkers Kindergarten",12000,18000,6000,6.99,50,72,1.95
"5092",5092,"Never give up!",12000,18000,6000,2.99,50,50,1.49
"5093",5093,"MOTHERGUNSHIP",0,18000,18000,24.99,0,40,14.99
"5094",5094,"Quadrant M4",11000,18000,7000,0.99,63.64,51,0.49
"5095",5095,"Prehistoric Tales",13000,18000,5000,2.99,38.46,70,0.89
"5096",5096,"Sister’s Secrecy: Arcanum Bloodlines - Premium Edition",16000,18000,2000,6.99,12.5,75,1.74
"5097",5097,"SnakEscape",15000,18000,3000,7.99,20,90,0.79
"5098",5098,"Reagan Gorbachev",2000,18000,16000,9.99,800,75,2.49
"5099",5099,"Big Thinkers 1st Grade",12000,18000,6000,6.99,50,72,1.95
"5100",5100,"Olav: the story of one boy",1000,18000,17000,2.99,1700,83,0.5
"5101",5101,"Ironclads: Chincha Islands War 1866",14000,18000,4000,9.99,28.57,90,0.99
"5102",5102,"Beeftacular",9000,18000,9000,2.99,100,72,0.83
"5103",5103,"EggK47",6000,18000,12000,0.99,200,51,0.49
"5104",5104,"Digital Resistance",0,18000,18000,0.99,0,51,0.49
"5105",5105,"The Crypts of Anak Shaba - VR",8000,18000,10000,0.99,125,51,0.49
"5106",5106,"Mold on Pizza",15000,18000,3000,5.99,20,50,2.99
"5107",5107,"Villagers",16000,18000,2000,19.99,12.5,75,4.99
"5108",5108,"Identity",0,18000,18000,29.99,0,10,26.99
"5109",5109,"Perfection.",16000,18000,2000,2.99,12.5,83,0.5
"5110",5110,"Summer Funland",2000,18000,16000,19.99,800,33,13.39
"5111",5111,"Alteric",11000,18000,7000,3.99,63.64,75,0.99
"5112",5112,"Pajama Sam's Lost & Found",8000,18000,10000,4.99,125,80,0.99
"5113",5113,"Army Men RTS",11000,18000,7000,5.99,63.64,50,2.99
"5114",5114,"Tavern Tycoon - Dragon's Hangover",14000,18000,4000,10.99,28.57,40,6.59
"5115",5115,"TOXIC PLUMBING",6000,18000,12000,4.99,200,90,0.5
"5116",5116,"FIVE: Champions of Canaan",12000,17000,5000,3.99,41.67,75,0.99
"5117",5117,"Mad Dagger 2",4000,17000,13000,0.99,325,51,0.49
"5118",5118,"Carcassonne - Tiles & Tactics",5000,17000,12000,9.99,240,60,3.99
"5119",5119,"Coming Out on Top",13000,17000,4000,14.99,30.77,34,9.89
"5120",5120,"CALENDULA",7000,17000,10000,6.99,142.86,80,1.39
"5121",5121,"Shadowcrypt",9000,17000,8000,4.99,88.89,80,0.99
"5122",5122,"Vortex: The Gateway",15000,17000,2000,7.99,13.33,60,3.19
"5123",5123,"The Girl on the Train",14000,17000,3000,0.99,21.43,45,0.54
"5124",5124,"Shipwreck",9000,17000,8000,2.99,88.89,75,0.74
"5125",5125,"Dude Simulator 2",0,17000,17000,4.99,0,90,0.49
"5126",5126,"The Franz Kafka Videogame",11000,17000,6000,6.99,54.55,72,1.95
"5127",5127,"Solitairica",6000,17000,11000,9.99,183.33,75,2.49
"5128",5128,"Null Vector",12000,17000,5000,4.99,41.67,30,3.49
"5129",5129,"World of Tea",4000,17000,13000,0.99,325,51,0.49
"5130",5130,"JYDGE",14000,17000,3000,14.99,21.43,70,4.49
"5131",5131,"Dream Chamber",15000,17000,2000,9.99,13.33,70,2.99
"5132",5132,"OmniBus",15000,17000,2000,9.99,13.33,75,2.49
"5133",5133,"Hero and Daughter+",8000,17000,9000,9.99,112.5,60,3.99
"5134",5134,"Heroes Rise: HeroFall",12000,17000,5000,3.99,41.67,25,2.99
"5135",5135,"Sudoku Quest",12000,17000,5000,5.99,41.67,35,3.89
"5136",5136,"Battle for Enlor",3000,17000,14000,3.99,466.67,50,1.99
"5137",5137,"HUBE: Seeker of Achievements",2000,17000,15000,0.99,750,51,0.49
"5138",5138,"Blade & Bones",10000,17000,7000,10.99,70,90,1.09
"5139",5139,"Super Seducer 2",0,17000,17000,12.99,0,31,8.96
"5140",5140,"Run Rabbit Run",15000,17000,2000,3.99,13.33,50,1.99
"5141",5141,"Protoshift",15000,17000,2000,0.99,13.33,51,0.49
"5142",5142,"Legends of Atlantis: Exodus",15000,17000,2000,6.99,13.33,85,1.04
"5143",5143,"VR Baseball",15000,17000,2000,8.98,13.33,0,8.98
"5144",5144,"Delta Force: Xtreme",13000,17000,4000,19.99,30.77,80,4.99
"5145",5145,"Polaris Sector",12000,17000,5000,39.99,41.67,75,9.99
"5146",5146,"MOAI: Build Your Dream",13000,17000,4000,6.99,30.77,90,0.69
"5147",5147,"Ghost Files: The Face of Guilt",10000,17000,7000,9.99,70,60,3.99
"5148",5148,"Legends of Ellaria",13000,17000,4000,16.99,30.77,30,11.89
"5149",5149,"Crimson Gray",12000,17000,5000,9.99,41.67,50,4.99
"5150",5150,"Lawnmower Game 2: Drifter",9000,17000,8000,0.99,88.89,51,0.49
"5151",5151,"Nicole",15000,17000,2000,18.99,13.33,75,4.74
"5152",5152,"Evo Explores",15000,17000,2000,3.99,13.33,51,1.95
"5153",5153,"GAIN",12000,17000,5000,4.99,41.67,0,4.99
"5154",5154,"5089: The Action RPG",14000,17000,3000,7.99,21.43,35,5.19
"5155",5155,"Time Rifters",15000,17000,2000,9.99,13.33,60,3.99
"5156",5156,"Strange Night",9000,17000,8000,3.99,88.89,50,1.99
"5157",5157,"One Final Breath",10000,17000,7000,3.99,70,87,0.51
"5158",5158,"SCALPERS: Turtle & the Moonshine Gang",5000,17000,12000,9.99,240,50,4.99
"5159",5159,"Burning Cars",14000,17000,3000,5.99,21.43,70,1.79
"5160",5160,"Roots of Insanity",14000,17000,3000,6.99,21.43,90,0.69
"5161",5161,"Lumini",12000,17000,5000,12.99,41.67,80,2.59
"5162",5162,"Troubleshooter",10000,17000,7000,19.99,70,25,14.99
"5163",5163,"The Eyes of Ara",11000,17000,6000,14.99,54.55,60,5.99
"5164",5164,"Dark Years",12000,17000,5000,14.99,41.67,90,1.49
"5165",5165,"IronWolf VR",15000,17000,2000,19.99,13.33,25,14.99
"5166",5166,"Crystal Story II",15000,17000,2000,2.99,13.33,67,0.98
"5167",5167,"AOK Adventures Of Kok",11000,17000,6000,0.99,54.55,51,0.49
"5168",5168,"Danmaku Unlimited 3",5000,17000,12000,9.99,240,80,1.99
"5169",5169,"Harmonia",12000,17000,5000,9.99,41.67,70,2.99
"5170",5170,"The Bard's Tale Trilogy",0,17000,17000,14.99,0,0,14.99
"5171",5171,"Dude, Stop",12000,17000,5000,14.99,41.67,40,8.99
"5172",5172,"Navalny 20!8 : The Rise of Evil",8000,17000,9000,1.99,112.5,75,0.49
"5173",5173,"Masked Forces: Zombie Survival",13000,17000,4000,0.99,30.77,51,0.49
"5174",5174,"Mr. Triangle's Adventure",15000,17000,2000,0.99,13.33,25,0.74
"5175",5175,"Slap The Fly",14000,17000,3000,5.99,21.43,0,5.99
"5176",5176,"Cubic",12000,17000,5000,0.99,41.67,87,0.49
"5177",5177,"Driving School Simulator",13000,17000,4000,14.99,30.77,75,3.74
"5178",5178,"Deathtrap Dungeon",12000,17000,5000,6.99,41.67,86,0.97
"5179",5179,"MoonDigger",2000,17000,15000,0.99,750,51,0.49
"5180",5180,"Alekhine's Gun",7000,17000,10000,39.99,142.86,75,9.99
"5181",5181,"Reflection of Mine",15000,17000,2000,7.99,13.33,75,1.99
"5182",5182,"Lionessy Story",11000,17000,6000,4.99,54.55,90,0.49
"5183",5183,"Kisaragi no Hougyoku",6000,17000,11000,3.99,183.33,0,3.99
"5184",5184,"Lingering Fragrance",0,17000,17000,3.99,0,30,2.79
"5185",5185,"Lowpoly Hero",3000,17000,14000,4.99,466.67,0,4.99
"5186",5186,"Call of Bitcoin",2000,17000,15000,0.99,750,51,0.49
"5187",5187,"Let Them Come",10000,17000,7000,4.99,70,60,1.99
"5188",5188,"Mimpi",12000,17000,5000,3.99,41.67,80,0.79
"5189",5189,"Galactic Battles",6000,17000,11000,4.99,183.33,90,0.5
"5190",5190,"Pastelia Stories",12000,17000,5000,9.99,41.67,20,7.99
"5191",5191,"Kalimba",15000,17000,2000,9.99,13.33,75,2.49
"5192",5192,"Trench Run",12000,17000,5000,3.99,41.67,75,0.99
"5193",5193,"Grim Nights",0,17000,17000,2.99,0,0,2.99
"5194",5194,"Apokalypsis",15000,17000,2000,1.99,13.33,75,0.49
"5195",5195,"Loot Hunter",14000,17000,3000,6.99,21.43,75,1.99
"5196",5196,"Midvinter",9000,17000,8000,4.99,88.89,75,1.24
"5197",5197,"Blitz Breaker",11000,17000,6000,0.99,54.55,51,0.49
"5198",5198,"Armada 2526",15000,17000,2000,14.99,13.33,85,2.24
"5199",5199,"Fireworks Simulator",15000,17000,2000,9.99,13.33,60,3.99
"5200",5200,"VERLIES II",12000,17000,5000,4.99,41.67,90,0.49
"5201",5201,"Murder Mystery Adventure",15000,17000,2000,4.99,13.33,80,0.99
"5202",5202,"Lost Grimoires: Stolen Kingdom",8000,17000,9000,9.99,112.5,70,2.99
"5203",5203,"Great Big War Game",8000,17000,9000,6.99,112.5,0,6.99
"5204",5204,"Run!ZombieFood!",15000,17000,2000,3.99,13.33,10,3.59
"5205",5205,"G-Ball",15000,17000,2000,0.99,13.33,0,0.99
"5206",5206,"Battle Fantasia -Revised Edition-",14000,17000,3000,14.99,21.43,80,2.99
"5207",5207,"Chiptune Champion",12000,17000,5000,9.99,41.67,50,4.99
"5208",5208,"Shotgun Raiders",15000,17000,2000,2.99,13.33,0,2.99
"5209",5209,"Wars and Warriors: Joan of Arc",12000,17000,5000,6.99,41.67,75,1.74
"5210",5210,"Lost Grimoires 2: Shard of Mystery",11000,17000,6000,9.99,54.55,70,2.99
"5211",5211,"BuildMoreCubes",3000,17000,14000,1.99,466.67,50,0.99
"5212",5212,"Fabric",8000,17000,9000,9.99,112.5,0,9.99
"5213",5213,"The Last Dream: Developer's Edition",14000,17000,3000,9.99,21.43,78,2.19
"5214",5214,"Check vs Mate",14000,17000,3000,19.99,21.43,85,2.99
"5215",5215,"Charlie Murder",11000,17000,6000,9.99,54.55,50,4.99
"5216",5216,"Commander: The Great War",13000,17000,4000,29.99,30.77,67,9.89
"5217",5217,"Skyflower",15000,17000,2000,2.99,13.33,0,2.99
"5218",5218,"Superfighters Deluxe",0,17000,17000,12.99,0,10,11.69
"5219",5219,"Mass Exodus",13000,17000,4000,14.99,30.77,0,14.99
"5220",5220,"Adventures of Abrix",15000,17000,2000,4.99,13.33,86,0.69
"5221",5221,"Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch",15000,17000,2000,6.99,13.33,60,2.79
"5222",5222,"Shootout on Cash Island",8000,17000,9000,2.99,112.5,80,0.59
"5223",5223,"God of Failure",4000,17000,13000,4.99,325,90,0.49
"5224",5224,"Star Phoenix",6000,17000,11000,9.99,183.33,35,6.49
"5225",5225,"Capitalism 2",9000,17000,8000,9.99,88.89,20,7.99
"5226",5226,"COAST GUARD",13000,17000,4000,14.99,30.77,80,2.99
"5227",5227,"Dark Gates",13000,17000,4000,3.99,30.77,70,1.19
"5228",5228,"RunningDead",14000,16000,2000,1.99,14.29,10,1.79
"5229",5229,"Vzerthos: The Heir of Thunder",6000,16000,10000,6.99,166.67,78,1.53
"5230",5230,"Castaway Paradise - Town Building Sim",11000,16000,5000,14.99,45.45,70,4.49
"5231",5231,"RUN ROOMS",9000,16000,7000,1.99,77.78,75,0.49
"5232",5232,"Black Moon Chronicles",14000,16000,2000,5.99,14.29,50,2.99
"5233",5233,"Her Majesty's SPIFFING",7000,16000,9000,11.99,128.57,70,3.59
"5234",5234,"CAPSULE",14000,16000,2000,4.99,14.29,80,0.99
"5235",5235,"Masky",14000,16000,2000,0.99,14.29,51,0.49
"5236",5236,"Zero Caliber VR",0,16000,16000,24.99,0,10,22.49
"5237",5237,"Cursed Treasure 2",4000,16000,12000,4.99,300,50,2.49
"5238",5238,"The Wanderings Dragon",0,16000,16000,0.99,0,51,0.49
"5239",5239,"猎人物语",11000,16000,5000,3.99,45.45,0,3.99
"5240",5240,"Sydney's World",9000,16000,7000,4.99,77.78,60,1.99
"5241",5241,"On The Road",12000,16000,4000,17.99,33.33,33,12.05
"5242",5242,"Run For Rum",4000,16000,12000,4.99,300,90,0.49
"5243",5243,"Karnage Chronicles",10000,16000,6000,24.99,60,33,16.74
"5244",5244,"SHOCK TROOPERS 2nd Squad",12000,16000,4000,7.99,33.33,50,3.99
"5245",5245,"On My Own",11000,16000,5000,4.99,45.45,0,4.99
"5246",5246,"Double Dragon IV",10000,16000,6000,6.99,60,50,3.49
"5247",5247,"Demetrios - The BIG Cynical Adventure",10000,16000,6000,9.99,60,75,2.49
"5248",5248,"WARRIORS ALL-STARS / 無双☆スターズ",12000,16000,4000,59.99,33.33,50,29.99
"5249",5249,"ЕСТЬ ДВА СТУЛА",0,16000,16000,0.99,0,51,0.49
"5250",5250,"Highborn",14000,16000,2000,1.99,14.29,0,1.99
"5251",5251,"Vaporum",12000,16000,4000,19.99,33.33,50,9.99
"5252",5252,"Ace of Seafood",14000,16000,2000,11.99,14.29,50,5.99
"5253",5253,"Wildlife Park 2 - Farm World",7000,16000,9000,3.99,128.57,33,2.67
"5254",5254,"Undefeated",13000,16000,3000,9.99,23.08,90,0.99
"5255",5255,"A.R.E.S. Extinction Agenda EX",13000,16000,3000,9.99,23.08,80,1.99
"5256",5256,"Rebirth of Island",14000,16000,2000,4.99,14.29,75,1.24
"5257",5257,"Monster Energy Supercross - The Official Videogame",11000,16000,5000,49.99,45.45,70,14.99
"5258",5258,"Breezeblox",12000,16000,4000,2.99,33.33,40,1.79
"5259",5259,"NASWAY",14000,16000,2000,0.99,14.29,51,0.49
"5260",5260,"The Survey",13000,16000,3000,4.99,23.08,80,0.99
"5261",5261,"ZomDay",12000,16000,4000,9.99,33.33,30,6.99
"5262",5262,"Evochron Legacy",13000,16000,3000,24.99,23.08,30,17.49
"5263",5263,"Helicopter 2015: Natural Disasters",14000,16000,2000,9.99,14.29,75,2.49
"5264",5264,"Bohemian Killing",12000,16000,4000,12.99,33.33,70,3.89
"5265",5265,"Invisibox",10000,16000,6000,0.99,60,51,0.49
"5266",5266,"England Exchange",5000,16000,11000,14.99,220,60,5.99
"5267",5267,"Emerge: Cities of the Apocalypse",7000,16000,9000,7.99,128.57,75,1.99
"5268",5268,"3D Ultra Minigolf Adventures",11000,16000,5000,9.99,45.45,75,2.49
"5269",5269,"Descenders",11000,16000,5000,24.99,45.45,15,21.24
"5270",5270,"Shining Resonance Refrain",0,16000,16000,49.99,0,50,24.99
"5271",5271,"Murder",13000,16000,3000,0.99,23.08,51,0.49
"5272",5272,"The House in Fata Morgana",9000,16000,7000,24.99,77.78,50,12.49
"5273",5273,"Sayonara Umihara Kawase",12000,16000,4000,14.99,33.33,50,7.49
"5274",5274,"Starship Corporation",9000,16000,7000,19.99,77.78,50,9.99
"5275",5275,"Baron Wittard: Nemesis of Ragnarok",14000,16000,2000,7.99,14.29,0,7.99
"5276",5276,"Fairly Certain Doom",5000,16000,11000,1.99,220,0,1.99
"5277",5277,"Mutant Football League",13000,16000,3000,19.99,23.08,0,19.99
"5278",5278,"Hentai Shooter 3D",0,16000,16000,0.99,0,51,0.49
"5279",5279,"Arcadecraft",14000,16000,2000,9.99,14.29,0,9.99
"5280",5280,"Sumoman",11000,16000,5000,16.99,45.45,69,5.26
"5281",5281,"Just Ignore Them",12000,16000,4000,3.99,33.33,87,0.51
"5282",5282,"Fitz the Fox",13000,16000,3000,3.99,23.08,0,3.99
"5283",5283,"Kyn",14000,16000,2000,19.99,14.29,90,1.99
"5284",5284,"Lethe - Episode One",12000,16000,4000,14.99,33.33,85,2.24
"5285",5285,"Geo",3000,16000,13000,8.99,433.33,50,4.49
"5286",5286,"Limiter",3000,16000,13000,2.99,433.33,25,2.24
"5287",5287,"Haeven",10000,16000,6000,4.99,60,90,0.49
"5288",5288,"Earth Space Colonies",14000,16000,2000,9.99,14.29,90,0.99
"5289",5289,"Achievement Hunter: Begins",14000,16000,2000,0.99,14.29,51,0.49
"5290",5290,"Chopper: Lethal darkness",14000,16000,2000,2.99,14.29,33,2
"5291",5291,"Space Tyrant",8000,16000,8000,19.99,100,70,5.99
"5292",5292,"samurai_jazz",12000,16000,4000,0.99,33.33,51,0.49
